name,experince,team_name,birth_day,player_id,2024-25,2025-26
Nick Smith Jr.,2 years,Charlotte Hornets,2004-04-18,smithni01,,"$2,710,680"
Grant Williams,6 years,Charlotte Hornets,1998-11-30,willigr01,,"$13,645,500"
Mark Williams,3 years,Phoenix Suns,2001-12-16,willima07,,"$6,276,531"
Isaiah Wong,2 years,,2001-01-28,wongis01,,
Nickeil Alexander-Walker,6 years,Atlanta Hawks,1998-09-02,alexani01,,
Jaylen Clark,1 year,Minnesota Timberwolves,2001-10-13,clarkja02,,"$2,191,897"
Mike Conley,18 years,Minnesota Timberwolves,1987-10-11,conlemi01,,"$10,774,038"
Rob Dillingham,1 year,Minnesota Timberwolves,2005-01-04,dilliro01,,"$6,576,120"
Donte DiVincenzo,7 years,Minnesota Timberwolves,1997-01-31,divindo01,,"$11,990,000"
PJ Dozier,7 years,,1996-10-25,doziepj01,,
Anthony Edwards,5 years,Minnesota Timberwolves,2001-08-05,edwaran01,,"$45,550,512"
Jesse Edwards,1 year,Minnesota Timberwolves,2000-03-18,edwarje01,,
Luka Garza,4 years,Boston Celtics,1998-12-27,garzalu01,,
Rudy Gobert,12 years,Minnesota Timberwolves,1992-06-26,goberru01,,"$35,000,000"
Bones Hyland,4 years,,2000-09-14,hylanbo01,,
Joe Ingles,11 years,Minnesota Timberwolves,1987-10-02,inglejo01,,
Jaden McDaniels,5 years,Minnesota Timberwolves,2000-09-29,mcdanja02,,"$24,858,622"
Leonard Miller,2 years,Minnesota Timberwolves,2003-11-26,millele01,,"$2,221,677"
Josh Minott,3 years,Boston Celtics,2002-11-25,minotjo01,,
Tristen Newton,1 year,,2001-04-26,newtotr01,,
Daishen Nix,4 years,,2002-02-13,nixda01,,
Julius Randle,11 years,Minnesota Timberwolves,1994-11-29,randlju01,,
Naz Reid,6 years,Minnesota Timberwolves,1999-08-26,reidna01,,
Terrence Shannon Jr.,1 year,Minnesota Timberwolves,2000-07-30,shannte01,,"$2,674,080"
Branden Carlson,1 year,Oklahoma City Thunder,1999-06-14,carlsbr01,,
Alex Caruso,8 years,Oklahoma City Thunder,1994-02-28,carusal01,,"$18,102,000"
Ousmane Dieng,3 years,Oklahoma City Thunder,2003-05-21,diengou01,,"$6,670,882"
Luguentz Dort,6 years,Oklahoma City Thunder,1999-04-19,dortlu01,,"$17,722,222"
Alex Ducas,1 year,,2000-12-11,ducasal01,,
Adam Flagler,2 years,,1999-12-01,flaglad01,,
Shai Gilgeous-Alexander,7 years,Oklahoma City Thunder,1998-07-12,gilgesh01,,"$38,333,050"
Isaiah Hartenstein,7 years,Oklahoma City Thunder,1998-05-05,harteis01,,"$28,500,000"
Chet Holmgren,2 years,Oklahoma City Thunder,2002-05-01,holmgch01,,"$13,731,368"
Isaiah Joe,5 years,Oklahoma City Thunder,1999-07-02,joeis01,,"$12,362,338"
Dillon Jones,1 year,Oklahoma City Thunder,2001-10-29,jonesdi01,,"$2,753,280"
Malevy Leons,1 year,Oklahoma City Thunder,1999-09-23,leonsma01,,
Ajay Mitchell,1 year,Oklahoma City Thunder,2002-06-25,mitchaj01,,
Alex Reese,1 year,,1999-05-21,reeseal01,,
Cason Wallace,2 years,Oklahoma City Thunder,2003-11-07,wallaca01,,"$5,820,240"
Aaron Wiggins,4 years,Oklahoma City Thunder,1999-01-02,wiggiaa01,,"$9,672,897"
Jalen Williams,3 years,Oklahoma City Thunder,2001-04-14,willija06,,"$6,580,997"
Jaylin Williams,3 years,Oklahoma City Thunder,2002-06-29,willija07,,
Kenrich Williams,7 years,Oklahoma City Thunder,1994-12-02,willike04,,"$7,163,000"
Trey Alexander,1 year,New Orleans Pelicans,2003-05-02,alexatr01,,
Christian Braun,3 years,Denver Nuggets,2001-04-17,braunch01,,"$4,921,797"
Vlatko Čančar,5 years,,1997-04-10,cancavl01,,
Aaron Gordon,11 years,Denver Nuggets,1995-09-16,gordoaa01,,"$22,841,455"
PJ Hall,1 year,Memphis Grizzlies,2002-02-21,hallpj01,,
Nikola Jokić,10 years,Denver Nuggets,1995-02-19,jokicni01,,"$55,224,526"
Spencer Jones,1 year,Denver Nuggets,2001-06-14,jonessp01,,
DeAndre Jordan,17 years,,1988-07-21,jordade01,,
Jamal Murray,8 years,Denver Nuggets,1997-02-23,murraja01,,"$46,394,100"
Zeke Nnaji,5 years,Denver Nuggets,2001-01-09,nnajize01,,"$8,177,778"
Jalen Pickett,2 years,Denver Nuggets,1999-10-22,pickeja02,,"$2,221,677"
Michael Porter Jr.,6 years,Brooklyn Nets,1998-06-29,portemi01,,"$38,333,050"
Dario Šarić,8 years,Sacramento Kings,1994-04-08,saricda01,,"$5,426,400"
Julian Strawther,2 years,Denver Nuggets,2002-04-18,strawju01,,"$2,674,200"
Hunter Tyson,2 years,Denver Nuggets,2000-06-13,tysonhu01,,"$2,221,677"
Peyton Watson,3 years,Denver Nuggets,2002-09-11,watsope01,,"$4,356,476"
Russell Westbrook,17 years,Denver Nuggets,1988-11-12,westbru01,,"$3,468,960"
Deni Avdija,5 years,Portland Trail Blazers,2001-01-03,avdijde01,,"$14,375,000"
Deandre Ayton,7 years,Los Angeles Lakers,1998-07-23,aytonde01,,"$35,550,814"
Dalano Banton,4 years,,1999-11-07,bantoda01,,
Toumani Camara,2 years,Portland Trail Blazers,2000-05-08,camarto01,,"$2,221,677"
Sidy Cissoko,2 years,Portland Trail Blazers,2004-04-02,cissosi01,,
Donovan Clingan,1 year,Portland Trail Blazers,2004-02-23,clingdo01,,"$7,178,400"
Jerami Grant,11 years,Portland Trail Blazers,1994-03-12,grantje01,,"$32,000,001"
Scoot Henderson,2 years,Portland Trail Blazers,2004-02-03,hendesc01,,"$10,748,040"
Bryce McGowens,3 years,New Orleans Pelicans,2002-11-08,mcgowbr01,,
Justin Minaya,3 years,,1999-03-26,minayju01,,
Taze Moore,2 years,,1998-06-29,mooreta02,,
Kris Murray,2 years,Portland Trail Blazers,2000-08-19,murrakr01,,"$3,132,000"
Duop Reath,2 years,Portland Trail Blazers,1996-06-26,reathdu01,,"$2,221,677"
Rayan Rupert,2 years,Portland Trail Blazers,2004-05-31,ruperra01,,"$2,221,677"
Shaedon Sharpe,3 years,Portland Trail Blazers,2003-05-30,sharpsh01,,"$8,399,983"
Anfernee Simons,7 years,Boston Celtics,1999-06-08,simonan01,,"$27,678,571"
Matisse Thybulle,6 years,Portland Trail Blazers,1997-03-04,thybuma01,,"$11,550,000"
Jabari Walker,3 years,Philadelphia 76ers,2002-07-30,walkeja01,,
Robert Williams,7 years,Portland Trail Blazers,1997-10-17,williro04,,"$13,285,713"
Jordan Clarkson,11 years,New York Knicks,1992-06-07,clarkjo01,,"$14,285,714"
Isaiah Collier,1 year,Utah Jazz,2004-10-08,colliis01,,"$2,638,200"
John Collins,8 years,Los Angeles Clippers,1997-09-23,collijo01,,"$26,580,000"
Drew Eubanks,7 years,Sacramento Kings,1997-02-01,eubandr01,,
Kyle Filipowski,1 year,Utah Jazz,2003-11-07,filipky01,,"$3,000,000"
Keyonte George,2 years,Utah Jazz,2003-11-08,georgke01,,"$4,278,960"
Elijah Harkless,1 year,Utah Jazz,2000-02-03,harklej01,,
Taylor Hendricks,2 years,Utah Jazz,2003-11-22,hendrta01,,"$6,127,080"
Johnny Juzang,3 years,,2001-03-17,juzanjo01,,
Walker Kessler,3 years,Utah Jazz,2001-07-26,kesslwa01,,"$4,878,938"
Lauri Markkanen,8 years,Utah Jazz,1997-05-22,markkla01,,"$46,394,100"
KJ Martin,5 years,Utah Jazz,2001-01-06,martike04,,"$8,025,000"
Patty Mills,16 years,,1988-08-11,millspa02,,
Svi Mykhailiuk,7 years,Utah Jazz,1997-06-10,mykhasv01,,"$3,675,000"
Micah Potter,4 years,,1998-04-06,pottemi01,,
Brice Sensabaugh,2 years,Utah Jazz,2003-10-30,sensabr01,,"$2,693,760"
Collin Sexton,7 years,Utah Jazz,1999-01-04,sextoco01,,"$19,175,000"
Jaden Springer,4 years,New Orleans Pelicans,2002-09-25,sprinja01,,
Oscar Tshiebwe,2 years,,1999-11-27,tshieos01,,
Cody Williams,1 year,Utah Jazz,2004-11-20,willico04,,"$5,742,480"
Max Christie,3 years,Dallas Mavericks,2003-02-10,chrisma02,,"$7,714,286"
Anthony Davis,13 years,Dallas Mavericks,1993-03-11,davisan02,,"$54,126,450"
Luka Dončić,7 years,Los Angeles Lakers,1999-02-28,doncilu01,,"$45,999,660"
Dorian Finney-Smith,9 years,Houston Rockets,1993-05-04,finnedo01,,
Jordan Goodwin,4 years,Phoenix Suns,1998-10-23,goodwjo01,,"$2,349,578"
Rui Hachimura,6 years,Los Angeles Lakers,1998-02-08,hachiru01,,"$18,259,259"
Jaxson Hayes,6 years,Los Angeles Lakers,2000-05-23,hayesja02,,
Jalen Hood-Schifino,2 years,,2003-06-19,hoodsja01,,
Bronny James,1 year,Los Angeles Lakers,2004-10-06,jamesbr02,,"$1,955,377"
LeBron James,22 years,Los Angeles Lakers,1984-12-30,jamesle01,,"$52,627,153"
Trey Jemison,2 years,,1999-11-28,jemistr01,,
Maxi Kleber,8 years,Los Angeles Lakers,1992-01-29,klebima01,,"$11,000,000"
Dalton Knecht,1 year,Los Angeles Lakers,2001-04-19,knechda01,,"$4,010,160"
Christian Koloko,2 years,Los Angeles Lakers,2000-06-20,kolokch01,,
Alex Len,12 years,,1993-06-16,lenal01,,
Maxwell Lewis,2 years,,2002-07-27,lewisma05,,
Shake Milton,7 years,,1996-09-26,miltosh01,,"$3,000,000"
Markieff Morris,14 years,,1989-09-02,morrima02,,
Quincy Olivari,1 year,,2001-05-27,olivaqu01,,
Austin Reaves,4 years,Los Angeles Lakers,1998-05-29,reaveau01,,"$13,937,574"
Cam Reddish,6 years,,1999-09-01,reddica01,,
D'Angelo Russell,10 years,Dallas Mavericks,1996-02-23,russeda01,,
Armel Traoré,1 year,,2003-01-23,armeltr01,,
Jarred Vanderbilt,7 years,Los Angeles Lakers,1999-04-03,vandeja01,,"$11,571,429"
Gabe Vincent,6 years,Los Angeles Lakers,1996-06-14,vincega01,,"$11,500,000"
Patrick Baldwin Jr.,3 years,,2002-11-18,baldwpa01,,
Mo Bamba,7 years,,1998-05-12,bambamo01,,
Nicolas Batum,17 years,Los Angeles Clippers,1988-12-14,batumni01,,
MarJon Beauchamp,3 years,,2000-10-12,beaucma01,,
Bogdan Bogdanović,8 years,Los Angeles Clippers,1992-08-18,bogdabo01,,"$16,020,000"
Kobe Brown,2 years,Los Angeles Clippers,2000-01-01,brownko01,,"$2,654,880"
Cam Christie,1 year,Los Angeles Clippers,2005-07-24,chrisca02,,"$1,955,377"
Amir Coffey,6 years,,1997-06-17,coffeam01,,
Kris Dunn,9 years,Los Angeles Clippers,1994-03-18,dunnkr01,,"$5,426,400"
Drew Eubanks,7 years,Sacramento Kings,1997-02-01,eubandr01,,
Trentyn Flowers,1 year,Los Angeles Clippers,2005-03-08,flowetr01,,
James Harden,16 years,Los Angeles Clippers,1989-08-26,hardeja01,,
Bones Hyland,4 years,,2000-09-14,hylanbo01,,
Derrick Jones Jr.,9 years,Los Angeles Clippers,1997-02-15,jonesde02,,"$10,000,000"
Kai Jones,3 years,,2001-01-19,joneska01,,
Kawhi Leonard,13 years,Los Angeles Clippers,1991-06-29,leonaka01,,"$50,000,000"
Terance Mann,6 years,Brooklyn Nets,1996-10-18,mannte01,,"$15,500,000"
Jordan Miller,2 years,Los Angeles Clippers,2000-01-23,millejo02,,
Patty Mills,16 years,,1988-08-11,millspa02,,
Kevin Porter Jr.,5 years,Milwaukee Bucks,2000-05-04,porteke02,,
Norman Powell,10 years,Miami Heat,1993-05-25,powelno01,,"$20,482,758"
Ben Simmons,7 years,,1996-07-20,simmobe01,,
Ivica Zubac,9 years,Los Angeles Clippers,1997-03-18,zubaciv01,,"$18,102,000"
Kyle Anderson,11 years,Utah Jazz,1993-09-20,anderky01,,"$9,219,512"
Reece Beekman,1 year,,2001-10-08,beekmre01,,
Jimmy Butler,14 years,Golden State Warriors,1989-09-14,butleji01,,"$54,126,450"
Yuri Collins,1 year,,2001-03-07,colliyu01,,
Stephen Curry,16 years,Golden State Warriors,1988-03-14,curryst01,,"$59,606,817"
Draymond Green,13 years,Golden State Warriors,1990-03-04,greendr01,,"$25,892,857"
Buddy Hield,9 years,Golden State Warriors,1992-12-17,hieldbu01,,"$9,219,512"
Trayce Jackson-Davis,2 years,Golden State Warriors,2000-02-22,jackstr02,,"$2,221,677"
Braxton Key,4 years,,1997-02-14,keybr01,,
Kevin Knox,7 years,,1999-08-11,knoxke01,,
Jonathan Kuminga,4 years,,2002-10-06,kuminjo01,,
Kevon Looney,10 years,New Orleans Pelicans,1996-02-06,looneke01,,
De'Anthony Melton,7 years,,1998-05-28,meltode01,,
Moses Moody,4 years,Golden State Warriors,2002-05-31,moodymo01,,"$11,574,075"
Gary Payton II,9 years,,1992-12-01,paytoga02,,
Brandin Podziemski,2 years,Golden State Warriors,2003-02-25,podzibr01,,"$3,687,960"
Quinten Post,1 year,Golden State Warriors,2000-03-21,postqu01,,"$1,955,377"
Jackson Rowe,1 year,Golden State Warriors,1997-01-04,roweja01,,
Gui Santos,2 years,Golden State Warriors,2002-06-22,santogu01,,"$2,221,677"
Dennis Schröder,12 years,Sacramento Kings,1993-09-15,schrode01,,
Pat Spencer,2 years,,1996-07-04,spencpa01,,
Lindy Waters III,4 years,San Antonio Spurs,1997-07-28,waterli01,,
Andrew Wiggins,11 years,Miami Heat,1995-02-23,wiggian01,,"$28,223,215"
Grayson Allen,7 years,Phoenix Suns,1995-10-08,allengr01,,"$16,875,000"
Bradley Beal,13 years,Los Angeles Clippers,1993-06-28,bealbr01,,"$53,666,270"
Bol Bol,6 years,,1999-11-16,bolbo01,,
Devin Booker,10 years,Phoenix Suns,1996-10-30,bookede01,,"$53,142,264"
Jalen Bridges,1 year,,2001-05-14,bridgja01,,
Ryan Dunn,1 year,Phoenix Suns,2003-01-07,dunnry01,,"$2,657,760"
Kevin Durant,17 years,Houston Rockets,1988-09-29,duranke01,,"$54,708,609"
Collin Gillespie,2 years,Phoenix Suns,1999-06-25,gilleco01,,
Oso Ighodaro,1 year,Phoenix Suns,2002-07-14,ighodos01,,"$1,955,377"
Tyus Jones,10 years,Orlando Magic,1996-05-10,jonesty01,,
Damion Lee,7 years,,1992-10-21,leeda03,,
Cody Martin,6 years,,1995-09-28,martico01,,
Vasilije Micić,2 years,,1994-01-13,micicva01,,"$8,109,150"
Monte Morris,8 years,,1995-06-27,morrimo01,,
Jusuf Nurkić,11 years,Charlotte Hornets,1994-08-23,nurkiju01,,"$19,375,000"
Royce O'Neale,8 years,Phoenix Suns,1993-06-05,onealro01,,"$10,125,000"
Josh Okogie,7 years,Houston Rockets,1998-09-01,okogijo01,,
Mason Plumlee,12 years,Charlotte Hornets,1990-03-05,plumlma01,,
Nick Richards,5 years,Phoenix Suns,1997-11-29,richani01,,"$5,000,000"
TyTy Washington Jr.,3 years,,2001-11-15,washity02,,
Devin Carter,1 year,Sacramento Kings,2002-03-18,cartede02,,"$4,923,720"
Isaiah Crawford,1 year,Houston Rockets,2001-11-01,crawfis01,,
Jae Crowder,13 years,,1990-07-06,crowdja01,,
Terence Davis,5 years,Sacramento Kings,1997-05-16,daviste02,,"$2,546,675"
DeMar DeRozan,16 years,Sacramento Kings,1989-08-07,derozde01,,"$24,570,000"
Keon Ellis,3 years,Sacramento Kings,2000-01-08,elliske01,,"$2,301,587"
De'Aaron Fox,8 years,San Antonio Spurs,1997-12-20,foxde01,,"$37,096,620"
Markelle Fultz,8 years,,1998-05-29,fultzma01,,
Kevin Huerter,7 years,Chicago Bulls,1998-08-27,huertke01,,"$17,991,071"
Colby Jones,2 years,Detroit Pistons,2002-05-28,jonesco02,,
Isaac Jones,1 year,Sacramento Kings,2000-07-11,jonesis01,,"$1,955,377"
Mason Jones,4 years,,1998-07-21,jonesma05,,
Skal Labissière,,,1996-03-18,labissk01,,
Jake LaRavia,3 years,Los Angeles Lakers,2001-11-03,laravja01,,
Zach LaVine,11 years,Sacramento Kings,1995-03-10,lavinza01,,"$47,499,660"
Alex Len,12 years,,1993-06-16,lenal01,,
Trey Lyles,10 years,,1995-11-05,lylestr01,,
Doug McDermott,11 years,Sacramento Kings,1992-01-03,mcderdo01,,
Jordan McLaughlin,6 years,San Antonio Spurs,1996-04-09,mclaujo01,,
Malik Monk,8 years,Sacramento Kings,1998-02-04,monkma01,,"$18,797,619"
Keegan Murray,3 years,Sacramento Kings,2000-08-19,murrake02,,"$11,144,093"
Orlando Robinson,3 years,Orlando Magic,2000-07-10,robinor01,,
Domantas Sabonis,9 years,Sacramento Kings,1996-05-03,sabondo01,,"$43,636,000"
Terry Taylor,4 years,,1999-09-23,taylote01,,
Jonas Valančiūnas,13 years,Denver Nuggets,1992-05-06,valanjo01,,"$10,395,000"
Santi Aldama,4 years,Memphis Grizzlies,2001-01-10,aldamsa01,,
Marvin Bagley III,7 years,Washington Wizards,1999-03-14,baglema01,,
Desmond Bane,5 years,Orlando Magic,1998-06-25,banede01,,"$36,725,670"
Colin Castleton,2 years,,2000-05-25,castlco01,,
Brandon Clarke,6 years,Memphis Grizzlies,1996-09-19,clarkbr01,,"$12,500,000"
Zach Edey,1 year,Memphis Grizzlies,2002-05-14,edeyza01,,"$6,045,000"
Jay Huff,4 years,Indiana Pacers,1998-08-25,huffja01,,"$2,349,578"
GG Jackson II,2 years,Memphis Grizzlies,2004-12-17,jacksgg01,,"$2,221,677"
Jaren Jackson Jr.,7 years,Memphis Grizzlies,1999-09-15,jacksja02,,"$35,000,000"
Yuki Kawamura,1 year,Chicago Bulls,2001-05-02,kawamyu01,,
Luke Kennard,8 years,Atlanta Hawks,1996-06-24,kennalu01,,
John Konchar,6 years,Memphis Grizzlies,1996-03-22,konchjo01,,"$6,165,000"
Jake LaRavia,3 years,Los Angeles Lakers,2001-11-03,laravja01,,
Ja Morant,6 years,Memphis Grizzlies,1999-08-10,moranja01,,"$39,446,090"
Scotty Pippen Jr.,3 years,Memphis Grizzlies,2000-11-10,pippesc02,,"$2,270,735"
Zyon Pullin,1 year,,2001-03-03,pullizy01,,
Marcus Smart,11 years,Los Angeles Lakers,1994-03-06,smartma01,,"$21,586,855"
Cam Spencer,1 year,Memphis Grizzlies,2000-04-06,spencca01,,
Lamar Stevens,5 years,,1997-07-09,stevela01,,
Jaylen Wells,1 year,Memphis Grizzlies,2003-08-26,wellsja01,,"$1,955,377"
Vince Williams Jr.,3 years,Memphis Grizzlies,2000-08-30,willivi01,,"$2,301,587"
Jose Alvarado,4 years,New Orleans Pelicans,1998-04-12,alvarjo01,,"$4,500,000"
Mo Bamba,7 years,,1998-05-12,bambamo01,,
Brandon Boston Jr.,4 years,New Orleans Pelicans,2001-11-28,bostobr01,,"$2,349,578"
Keion Brooks Jr.,1 year,,2000-08-07,brookke02,,
Bruce Brown,7 years,Denver Nuggets,1996-08-15,brownbr01,,
Jamal Cain,3 years,Orlando Magic,1999-03-20,cainja01,,
Javonte Green,6 years,,1993-07-23,greenja02,,
Jordan Hawkins,2 years,New Orleans Pelicans,2002-04-29,hawkijo01,,"$4,741,320"
Brandon Ingram,9 years,Toronto Raptors,1997-09-02,ingrabr01,,"$38,095,238"
Trey Jemison,2 years,,1999-11-28,jemistr01,,
Herbert Jones,4 years,New Orleans Pelicans,1998-10-06,joneshe01,,"$13,937,574"
Kylor Kelley,1 year,,1997-08-26,kelleky01,,
Karlo Matković,1 year,New Orleans Pelicans,2001-03-30,matkoka01,,"$1,955,377"
CJ McCollum,12 years,Washington Wizards,1991-09-19,mccolcj01,,"$30,666,666"
Yves Missi,1 year,New Orleans Pelicans,2004-05-14,missiyv01,,"$3,353,040"
Trey Murphy III,4 years,New Orleans Pelicans,2000-06-18,murphtr02,,"$25,000,000"
Dejounte Murray,8 years,New Orleans Pelicans,1996-09-19,murrade01,,"$31,557,103"
Jaylen Nowell,6 years,,1999-07-09,nowelja01,,
Kelly Olynyk,12 years,San Antonio Spurs,1991-04-19,olynyke01,,"$13,445,122"
Elfrid Payton,9 years,New Orleans Pelicans,1994-02-22,paytoel01,,"$3,153,598"
Lester Quiñones,3 years,,2000-11-16,quinole01,,
Antonio Reeves,1 year,Charlotte Hornets,2000-11-20,reevean01,,
Jeremiah Robinson-Earl,4 years,,2000-11-03,robinje02,,
Daniel Theis,8 years,,1992-04-04,theisda01,,
Zion Williamson,5 years,New Orleans Pelicans,2000-07-06,willizi01,,"$39,446,090"
Steven Adams,11 years,Houston Rockets,1993-07-20,adamsst01,,
Dillon Brooks,8 years,Phoenix Suns,1996-01-22,brookdi01,,"$21,124,110"
N'Faly Dante,1 year,,2001-10-19,nfalyda01,,
Tari Eason,3 years,Houston Rockets,2001-05-10,easonta01,,"$5,675,766"
Jalen Green,4 years,Phoenix Suns,2002-02-09,greenja05,,"$33,333,333"
Jeff Green,17 years,Houston Rockets,1986-08-28,greenje02,,
Aaron Holiday,7 years,Houston Rockets,1996-09-30,holidaa01,,
Jock Landale,4 years,Memphis Grizzlies,1995-10-25,landajo01,,"$8,000,000"
Jack McVeigh,1 year,,1996-06-27,mcveija01,,
David Roddy,3 years,Toronto Raptors,2001-03-27,roddyda01,,
Alperen Şengün,4 years,Houston Rockets,2002-07-25,sengual01,,"$33,944,954"
Reed Sheppard,1 year,Houston Rockets,2004-06-24,sheppre01,,"$10,603,560"
Jabari Smith Jr.,3 years,Houston Rockets,2003-05-13,smithja05,,"$12,350,392"
Jae'Sean Tate,5 years,Houston Rockets,1995-10-28,tateja01,,
Amen Thompson,2 years,Houston Rockets,2003-01-30,thompam01,,"$9,690,600"
Fred VanVleet,9 years,Houston Rockets,1994-02-25,vanvlfr01,,
Cam Whitmore,2 years,Washington Wizards,2004-07-08,whitmca01,,"$3,539,760"
Jeenathan Williams,3 years,,1999-02-12,willije02,,
Harrison Barnes,13 years,San Antonio Spurs,1992-05-30,barneha02,,"$19,000,000"
Charles Bassey,4 years,San Antonio Spurs,2000-10-28,bassech01,,"$2,500,000"
Bismack Biyombo,14 years,,1992-08-28,biyombi01,,
Malaki Branham,3 years,Washington Wizards,2003-05-12,branhma01,,"$4,962,033"
Stephon Castle,1 year,San Antonio Spurs,2004-11-01,castlst01,,"$9,560,520"
Julian Champagnie,3 years,San Antonio Spurs,2001-06-29,champju02,,"$3,000,000"
Sidy Cissoko,2 years,Portland Trail Blazers,2004-04-02,cissosi01,,
Zach Collins,7 years,Chicago Bulls,1997-11-19,colliza01,,"$18,080,496"
David Duke Jr.,4 years,,1999-10-13,dukeda01,,
De'Aaron Fox,8 years,San Antonio Spurs,1997-12-20,foxde01,,"$37,096,620"
Harrison Ingram,1 year,,2002-11-27,ingraha01,,
Keldon Johnson,6 years,San Antonio Spurs,1999-10-11,johnske04,,"$17,500,000"
Tre Jones,5 years,Chicago Bulls,2000-01-08,jonestr01,,
Sandro Mamukelashvili,4 years,Toronto Raptors,1999-05-23,mamuksa01,,
Jordan McLaughlin,6 years,San Antonio Spurs,1996-04-09,mclaujo01,,
Riley Minix,1 year,,2000-09-22,minixri01,,
Chris Paul,20 years,Los Angeles Clippers,1985-05-06,paulch01,,
Jeremy Sochan,3 years,San Antonio Spurs,2003-05-20,sochaje01,,"$7,096,231"
Devin Vassell,5 years,San Antonio Spurs,2000-08-23,vassede01,,"$27,000,000"
Victor Wembanyama,2 years,San Antonio Spurs,2004-01-04,wembavi01,,"$13,376,880"
Blake Wesley,3 years,Portland Trail Blazers,2003-03-16,weslebl01,,"$4,726,328"
Moses Brown,6 years,,1999-10-13,brownmo01,,
Max Christie,3 years,Dallas Mavericks,2003-02-10,chrisma02,,"$7,714,286"
Anthony Davis,13 years,Dallas Mavericks,1993-03-11,davisan02,,"$54,126,450"
Spencer Dinwiddie,11 years,,1993-04-06,dinwisp01,,
Luka Dončić,7 years,Los Angeles Lakers,1999-02-28,doncilu01,,"$45,999,660"
Kessler Edwards,4 years,,2000-08-09,edwarke02,,
Dante Exum,8 years,,1995-07-13,exumda01,,
Daniel Gafford,6 years,Dallas Mavericks,1998-10-01,gaffoda01,,"$14,386,320"
Jazian Gortman,1 year,,2003-04-14,gortmja01,,
Quentin Grimes,4 years,,2000-05-08,grimequ01,,
Jaden Hardy,3 years,Dallas Mavericks,2002-07-05,hardyja02,,"$6,000,000"
Kyrie Irving,14 years,Dallas Mavericks,1992-03-23,irvinky01,,
Kai Jones,3 years,,2001-01-19,joneska01,,
Kylor Kelley,1 year,,1997-08-26,kelleky01,,
Maxi Kleber,8 years,Los Angeles Lakers,1992-01-29,klebima01,,"$11,000,000"
Dereck Lively II,2 years,Dallas Mavericks,2004-02-12,livelde01,,"$5,253,360"
Naji Marshall,5 years,Dallas Mavericks,1998-01-24,marshna01,,"$9,000,000"
Caleb Martin,6 years,Dallas Mavericks,1995-09-28,martica02,,"$9,594,044"
Markieff Morris,14 years,,1989-09-02,morrima02,,
Dwight Powell,11 years,Dallas Mavericks,1991-07-20,poweldw01,,"$4,000,000"
Olivier-Maxence Prosper,2 years,Dallas Mavericks,2002-07-03,prospol01,,"$3,007,080"
Klay Thompson,12 years,Dallas Mavericks,1990-02-08,thompkl01,,"$16,666,667"
P.J. Washington,6 years,Dallas Mavericks,1998-08-23,washipj01,,"$14,152,174"
Brandon Williams,3 years,Dallas Mavericks,1999-11-22,willibr03,,"$2,270,735"
